player_id,season,season_end,valuation_date,target_log_market_value,target_market_value_in_eur,position,sub_position,age_at_valuation,age_squared,minutes_played,goals,assists,yellow_cards,red_cards,appearances,available_minutes,minutes_share,two_year_minutes,goals_per90_last_two,assists_per90_last_two,yellow_cards_per90_last_two,red_cards_per90_last_two,previous_season_points,finishing_position,clubs_in_standings,champions_league_played
3838,2012,2013-05-19,2013-07-02,14.508658238524095,2000000,Goalkeeper,Goalkeeper,30.64476386036961,939.1015520578154,720.0,0.0,0.0,0.0,0.0,8,3420,0.21052631578947367,720.0,0.0,0.0,0.0,0.0,,,,0
3875,2012,2013-05-19,2013-07-02,15.894952224644102,8000000,Attack,Centre-Forward,30.73511293634497,944.6471672098799,2412.0,11.0,4.0,4.0,0.0,34,3420,0.7052631578947368,2412.0,0.41044776119402987,0.14925373134328357,0.14925373134328357,0.0,,,,0
3876,2012,2013-05-19,2013-07-02,14.914123179965662,3000000,Midfield,Attacking Midfield,31.64681724845996,1001.5210419574229,786.0,3.0,1.0,2.0,0.0,17,6840,0.11491228070175438,786.0,0.3435114503816794,0.11450381679389313,0.22900763358778625,0.0,,,,0
3878,2012,2013-05-19,2013-07-02,16.213405921671733,11000000,Midfield,Defensive Midfield,31.928815879534564,1019.4492834692186,3043.0,1.0,4.0,3.0,0.0,36,3420,0.889766081871345,3043.0,0.02957607624055209,0.11830430496220835,0.08872822872165625,0.0,,,,1
3881,2012,2013-05-19,2013-07-02,16.380459992348886,13000000,Defender,Right-Back,28.856947296372347,832.7234072656113,3227.0,1.0,5.0,7.0,0.0,36,3420,0.9435672514619883,3227.0,0.027889680818097305,0.13944840409048653,0.19522776572668113,0.0,,,,0
3950,2012,2013-05-19,2013-07-02,15.424948670398354,5000000,Midfield,Attacking Midfield,31.02258726899384,962.4009208623386,2987.0,10.0,2.0,6.0,0.0,35,3420,0.873391812865497,2987.0,0.3013056578506863,0.06026113157013726,0.18078339471041177,0.0,,,,0
3966,2012,2013-05-19,2013-06-30,14.731801689838347,2500000,Attack,Centre-Forward,31.88227241615332,1016.4792944178108,1109.0,3.0,1.0,0.0,0.0,18,3420,0.3242690058479532,1109.0,0.24346257889990983,0.0811541929666366,0.0,0.0,,,,0
3995,2012,2013-05-19,2013-07-02,14.731801689838347,2500000,Midfield,Central Midfield,30.12457221081451,907.4898508845778,1441.0,1.0,3.0,2.0,0.0,24,3420,0.4213450292397661,1441.0,0.062456627342123525,0.1873698820263706,0.12491325468424705,0.0,,,,0
4015,2012,2013-05-19,2013-06-19,12.899222326086994,400000,Attack,Centre-Forward,34.86379192334018,1215.4839872739599,184.0,0.0,0.0,0.0,0.0,11,3420,0.05380116959064327,184.0,0.0,0.0,0.0,0.0,,,,0
4042,2012,2013-05-19,2013-07-02,14.220976332738882,1500000,Goalkeeper,Goalkeeper,31.288158795345655,978.9488808027656,630.0,0.0,0.0,0.0,0.0,7,3420,0.18421052631578946,630.0,0.0,0.0,0.0,0.0,,,,0
4063,2012,2013-05-19,2013-07-02,15.955576839107596,8500000,Attack,Left Winger,28.944558521560573,837.7874680080448,2195.0,3.0,5.0,0.0,0.0,29,3420,0.6418128654970761,2195.0,0.12300683371298406,0.20501138952164008,0.0,0.0,,,,0
4070,2012,2013-05-19,2013-07-02,14.914123179965662,3000000,Defender,Centre-Back,28.947296372347708,837.9459672685348,2484.0,0.0,2.0,6.0,0.0,30,3420,0.7263157894736842,2484.0,0.0,0.07246376811594203,0.21739130434782608,0.0,,,,0
4072,2012,2013-05-19,2013-07-02,15.201805169084134,4000000,Attack,Centre-Forward,32.41889117043121,1050.9845047202625,2333.0,7.0,6.0,2.0,0.0,34,3420,0.6821637426900585,2333.0,0.2700385769395628,0.23146163737676811,0.07715387912558937,0.0,,,,0
4075,2012,2013-05-19,2013-07-02,14.220976332738882,1500000,Attack,Centre-Forward,27.381245722108144,749.7326172944655,513.0,3.0,2.0,0.0,0.0,16,3420,0.15,513.0,0.5263157894736842,0.3508771929824561,0.0,0.0,,,,0
4094,2012,2013-05-19,2013-07-02,13.122365377402328,500000,Defender,Right-Back,30.67488021902806,940.948276451719,167.0,0.0,0.0,0.0,0.0,5,3420,0.04883040935672515,167.0,0.0,0.0,0.0,0.0,,,,0
4095,2012,2013-05-19,2013-07-02,14.220976332738882,1500000,Defender,Centre-Back,29.481177275838466,869.1398135694143,512.0,0.0,0.0,1.0,0.0,6,3420,0.1497076023391813,512.0,0.0,0.0,0.17578125,0.0,,,,0
4111,2012,2013-05-19,2013-07-02,13.122365377402328,500000,Defender,Centre-Back,34.32443531827516,1178.166859918455,939.0,0.0,0.0,0.0,0.0,12,3420,0.27456140350877195,939.0,0.0,0.0,0.0,0.0,,,,0
4112,2012,2013-05-19,2013-07-02,12.429220196836384,250000,Midfield,Central Midfield,36.988364134154686,1368.1390813208207,10.0,0.0,0.0,0.0,0.0,1,3420,0.0029239766081871343,10.0,0.0,0.0,0.0,0.0,,,,0
4115,2012,2013-05-19,2013-07-02,14.220976332738882,1500000,Midfield,Defensive Midfield,31.34839151266256,982.721650431174,1316.0,2.0,0.0,5.0,0.0,19,3420,0.3847953216374269,1316.0,0.13677811550151975,0.0,0.34194528875379937,0.0,,,,0
4192,2012,2013-05-19,2013-06-30,16.380459992348886,13000000,Midfield,Attacking Midfield,30.38193018480493,923.0616817543608,84.0,0.0,0.0,0.0,0.0,2,3420,0.02456140350877193,84.0,0.0,0.0,0.0,0.0,,,,0
4205,2012,2013-05-19,2013-07-02,14.731801689838347,2500000,Attack,Centre-Forward,32.45722108145106,1053.471200330191,1311.0,4.0,2.0,1.0,1.0,21,3420,0.38333333333333336,1311.0,0.2745995423340961,0.13729977116704806,0.06864988558352403,0.06864988558352403,,,,0
4219,2012,2013-05-19,2013-07-02,13.815511557963774,1000000,Midfield,Central Midfield,29.5523613963039,873.3420640977531,35.0,0.0,0.0,0.0,0.0,2,3420,0.01023391812865497,35.0,0.0,0.0,0.0,0.0,,,,0
4233,2012,2013-05-19,2013-07-02,14.508658238524095,2000000,Goalkeeper,Goalkeeper,28.416153319644078,807.4777694855192,1890.0,0.0,0.0,0.0,0.0,21,3420,0.5526315789473685,1890.0,0.0,0.0,0.0,0.0,,,,0
4241,2012,2013-05-19,2013-07-02,16.012735246411598,9000000,Defender,Centre-Back,30.87748117727584,953.4188438530238,1569.0,1.0,0.0,3.0,0.0,26,3420,0.4587719298245614,1569.0,0.05736137667304015,0.0,0.17208413001912046,0.0,,,,1
4267,2012,2013-05-19,2013-07-02,14.731801689838347,2500000,Goalkeeper,Goalkeeper,34.32443531827516,1178.166859918455,3240.0,0.0,0.0,0.0,0.0,36,3420,0.9473684210526315,3240.0,0.0,0.0,0.0,0.0,,,,0
4276,2012,2013-05-19,2013-07-02,16.811242881518265,20000000,Attack,Second Striker,29.404517453798768,864.6256466907564,2407.0,11.0,12.0,3.0,0.0,34,3420,0.7038011695906433,2407.0,0.4113003739094308,0.44869131699210635,0.11217282924802659,0.0,,,,1
4277,2012,2013-05-19,2013-07-02,14.731801689838347,2500000,Defender,Centre-Back,28.37782340862423,805.3008614110613,1681.0,0.0,0.0,6.0,0.0,21,3420,0.4915204678362573,1681.0,0.0,0.0,0.32123735871505055,0.0,,,,0
4315,2012,2013-05-19,2013-07-02,15.607270193858982,6000000,Defender,Centre-Back,29.6290212183436,877.8788983570552,1603.0,0.0,0.0,5.0,0.0,26,3420,0.46871345029239764,1603.0,0.0,0.0,0.280723643169058,0.0,,,,0
4321,2012,2013-05-19,2013-07-02,15.319588176962746,4500000,Midfield,Left Midfield,31.293634496919918,979.2915600268163,3064.0,6.0,8.0,9.0,0.0,35,3420,0.895906432748538,3064.0,0.1762402088772846,0.2349869451697128,0.2643603133159269,0.0,,,,0
4380,2012,2013-05-19,2013-07-02,17.622173069956816,45000000,Attack,Centre-Forward,29.905544147843944,894.3415707786431,3124.0,26.0,15.0,6.0,0.0,38,3420,0.9134502923976608,3124.0,0.7490396927016645,0.4321382842509603,0.17285531370038412,0.0,,,,1
4592,2012,2013-05-19,2013-07-02,14.731801689838347,2500000,Midfield,Attacking Midfield,32.34770704996578,1046.3741513904056,1343.0,0.0,3.0,1.0,0.0,20,3420,0.39269005847953214,1343.0,0.0,0.20104244229337304,0.06701414743112435,0.0,,,,0
4624,2012,2013-05-19,2013-07-02,14.508658238524095,2000000,Defender,Centre-Back,30.195756331279945,911.7837004180329,2032.0,0.0,0.0,5.0,0.0,25,3420,0.5941520467836258,2032.0,0.0,0.0,0.22145669291338582,0.0,,,,0
4672,2012,2013-05-19,2013-06-19,15.76142084987672,7000000,Midfield,Defensive Midfield,28.550308008213552,815.1200873638629,90.0,0.0,0.0,0.0,0.0,1,3420,0.02631578947368421,90.0,0.0,0.0,0.0,0.0,,,,1
4796,2012,2013-05-19,2013-07-02,14.220976332738882,1500000,Defender,Centre-Back,30.27789185489391,916.7507351766509,19.0,0.0,0.0,0.0,0.0,2,3420,0.005555555555555556,19.0,0.0,0.0,0.0,0.0,,,,0
5285,2012,2013-05-19,2013-07-02,16.213405921671733,11000000,Defender,Left-Back,32.13141683778234,1032.4279480033224,3060.0,4.0,6.0,3.0,0.0,34,3420,0.8947368421052632,3060.0,0.11764705882352941,0.17647058823529413,0.08823529411764706,0.0,,,,1
5352,2012,2013-05-19,2013-07-02,14.220976332738882,1500000,Midfield,Defensive Midfield,32.12320328542094,1031.9001893164789,607.0,0.0,0.0,1.0,0.0,8,3420,0.17748538011695905,607.0,0.0,0.0,0.14827018121911037,0.0,,,,0
5652,2012,2013-05-19,2013-07-02,13.815511557963774,1000000,Attack,Centre-Forward,32.0,1024.0,823.0,2.0,2.0,2.0,1.0,21,3420,0.24064327485380116,823.0,0.2187120291616039,0.2187120291616039,0.2187120291616039,0.10935601458080195,,,,0
5658,2012,2013-05-19,2013-07-02,17.034386422832473,25000000,Goalkeeper,Goalkeeper,31.11841204654346,968.3555682984612,3195.0,0.0,0.0,2.0,0.0,36,3420,0.9342105263157895,3195.0,0.0,0.0,0.056338028169014086,0.0,,,,1
6106,2012,2013-05-19,2013-07-02,13.815511557963774,1000000,Midfield,Central Midfield,36.323066392881586,1319.3651521816837,1552.0,1.0,0.0,3.0,0.0,25,3420,0.45380116959064326,1552.0,0.05798969072164949,0.0,0.17396907216494845,0.0,,,,0
6150,2012,2013-05-19,2013-07-02,15.607270193858982,6000000,Defender,Centre-Back,31.44147843942505,988.5665664568303,1918.0,0.0,1.0,1.0,1.0,22,3420,0.5608187134502924,1918.0,0.0,0.04692387904066736,0.04692387904066736,0.04692387904066736,,,,0
